ID đơn hàng,Trạng thái đặt hàng,Checkout id,Thời Gian Đặt Hàng,Thời gian hoàn thành,Thời gian Click,Tên Shop,Shop id,Loại Shop,Item id,Tên Item,ID Model,Loại sản phẩm,Promotion id,L1 Danh mục toàn cầu,L2 Danh mục toàn cầu,L3 Danh mục toàn cầu,Giá(₫),Số lượng,Loại Hoa hồng,Đối tác chiến dịchr,Giá trị đơn hàng (₫),Số tiền hoàn trả (₫),Tỷ lệ sản phẩm hoa hồng Shope,Hoa hồng Shopee trên sản phẩm(₫),Tỷ lệ sản phẩm hoa hồng người bán,Hoa hồng Xtra trên sản phẩm(₫),Tổng hoa hồng sản phẩm(₫),Hoa hồng đơn hàng từ Shopee(₫),Hoa hồng đơn hàng từ Người bán(₫),Tổng hoa hồng đơn hàng(₫),Tên MNC đã liên kết,Mã hợp đồng MCN,Mức phí quản lý MCN,Phí quản lý MCN(₫),Mức hoa hồng tiếp thị liên kết theo thỏa thuận,Hoa hồng ròng tiếp thị liên kết(₫),Trạng thái sản phẩm liên kết,Ghi chú sản phẩm,Loại thuộc tính,Trạng thái người mua,Sub_id1,Sub_id2,Sub_id3,Sub_id4,Sub_id5,Kênh
260710BJ0A7Y32,Đang chờ xử lý,237397295224200,2026-07-10 22:41:35,,2026-07-10 22:41:20,Bliss_clothes99,647536,Shopee Mall(Non-CB),49111852068,[Thiết Kế Cao Cấp] Đầm Váy Cổ Yếm Thêu Ren Hoa Nổi Dáng Dài Xòe Tùng Dự Tiệc Sang Trọng Bliss Shop - V916,371027210423,Normal Product,,Thời Trang Nữ,Đầm,,1189000,1,XTRA Comm,,903640,,7.00%,50000,3.00%,27109.2,77109.2,50000,27109.2,77109.2,,0,0.00%,0,100.00%,77109.2,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ cùng một Shop,Đã tồn tại,,,,,,Zalo
260710BHVUNTM6,Đang chờ xử lý,237397179288885,2026-07-10 22:39:39,,2026-07-10 22:39:25,Bliss_clothes99,647536,Shopee Mall(Non-CB),57860286397,[Thiết Kế Cao Cấp] Đầm Váy 2 Dây Xẻ Ngực Chiết Eo Dáng Xòe Họa Tiết Hoa Viền Ngọc Sang Chảnh Bliss Shop - V824,380903587548,Normal Product,,Thời Trang Nữ,Đầm,,739000,1,XTRA Comm,,576420,,7.00%,40349.4,3.00%,17292.6,57642,40349.4,17292.6,57642,,0,0.00%,0,100.00%,57642,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ cùng một Shop,Đã tồn tại,,,,,,Zalo
260710BHTSSXPN,Đang chờ xử lý,237397110213004,2026-07-10 22:38:30,,2026-07-10 22:38:16,Dovia Mart,1220919890,Shopee Mall(Non-CB),54262886059,"Cây Lau Nhà Tự Vắt Thông Minh Xoay 360 Độ, 2 Bông Lau - PTLUXURY",371122539271,Normal Product,,Nhà cửa & Đời sống,Dụng cụ chăm sóc nhà cửa,Cây lau nhà,119000,1,Shopee Comm,,95200,,3.50%,3332,0.00%,0,3332,3332,0,3332,,0,0.00%,0,100.00%,3332,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ cùng một Shop,Đã tồn tại,,,,,,Zalo
260710B7PFYWXG,Đang chờ xử lý,237386228286609,2026-07-10 19:37:08,,2026-07-10 19:36:17,THUYSTORE.VN,10140079,Preferred(Non-CB),27069753113,Kẹp tóc nhung nơ basic cho nữ dạng ngoạm K28,108530895888,Normal Product,,Phụ Kiện Thời Trang,Phụ kiện tóc,Kẹp tóc,40000,1,XTRA Comm,,40000,,7.00%,2800,5.00%,2000,4800,2800,2000,4800,,0,0.00%,0,100.00%,4800,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ cùng một Shop,Đã tồn tại,,,,,,Zalo
260710ANU60TDC,Đang chờ xử lý,237367058253741,2026-07-10 14:17:39,,2026-07-10 14:17:20,TM1979 Store,1092158753,Preferred(Non-CB),42006246284,"Dép sục con sò, đúc nguyên khối, chống nước, cao 4cm, hottrend 2024,  - size 28-43 ( TM 20) TRƠN",375463036303,Normal Product,,Giày Dép Nam,Giày sục,,75050,1,XTRA Comm,,75050,,7.00%,5253.5,10.00%,7505,12758.5,5253.5,7505,12758.5,,0,0.00%,0,100.00%,12758.5,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ cùng một Shop,Đã tồn tại,,,,,,Zalo
260710AG0K0X7E,Đang chờ xử lý,237360797208064,2026-07-10 12:33:18,,2026-07-10 12:33:03,BlueWow Official Store,503704357,Shopee Mall(CB),56202797421,"Giá đỡ điện thoại từ tính BlueWow cho phòng tập Gym - 360° Giá đỡ điện thoại nam châm di động có thể điều chỉnh, chắc chắn để gh",282238989572,Normal Product,,Điện Thoại & Phụ Kiện,Phụ kiện,Kẹp điện thoại,193000,1,XTRA Comm,,140201,,3.50%,4907.035,6.00%,8412.06,13319.095,4907.035,8412.06,13319.095,,0,0.00%,0,100.00%,13319.095,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ cùng một Shop,Đã tồn tại,,,,,,Websites
260710AFFGJX55,Đang chờ xử lý,237360224224826,2026-07-10 12:23:44,,2026-07-10 12:23:00,Bu-D sportswear,108014782,Preferred(Non-CB),40923699159,Quần tập gym đùi nữ chun mông dệt kim Dynamic nâng vòng 3 cạp cao gen bụng co giãn (DYNA),249013320129,Normal Product,,Thể Thao & Dã Ngoại,Thời Trang Thể Thao & Dã Ngoại,Quần Thể Thao,272000,1,XTRA Comm,,204736,,7.00%,14331.52,2.00%,4094.72,18426.24,46925.34,13407.24,60332.58,,0,0.00%,0,100.00%,60332.58,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ cùng một Shop,Đã tồn tại,,,,,,Websites
260710AFFGJX55,Đang chờ xử lý,237360224224826,2026-07-10 12:23:44,,2026-07-10 12:23:00,Bu-D sportswear,108014782,Preferred(Non-CB),41570092496,"Set đồ tập thể thao gym, yoga cao cấp thiết kế cổ yếm chéo chất PoLy thoải mái thấm hút (Mã 111 new)",258922242824,Normal Product,,Thể Thao & Dã Ngoại,Thời Trang Thể Thao & Dã Ngoại,Bộ Đồ Thể Thao,369600,1,XTRA Comm,,278200,,7.00%,19474,2.00%,5564,25038,0,0,0,,0,0.00%,0,100.00%,0,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ cùng một Shop,Đã tồn tại,,,,,,Websites
260710AFFGJX55,Đang chờ xử lý,237360224224826,2026-07-10 12:23:44,,2026-07-10 12:23:00,Bu-D sportswear,108014782,Preferred(Non-CB),29661957844,"Quần Thể Thao Nữ, Quần Ngắn Tập Gym Yoga Nữ Chun Mông Dệt Kim Cao Cấp Co Giãn Thấm Hút Tốt (mã IMPACT ngắn)",185408245273,Normal Product,,Thể Thao & Dã Ngoại,Thời Trang Thể Thao & Dã Ngoại,Quần Thể Thao,249000,1,XTRA Comm,,187426,,7.00%,13119.82,2.00%,3748.52,16868.34,0,0,0,,0,0.00%,0,100.00%,0,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ cùng một Shop,Đã tồn tại,,,,,,Websites
260710A9FC9B6B,Đang chờ xử lý,237353776261673,2026-07-10 10:36:24,,2026-07-10 10:35:35,Bobby - Gian Hàng Chính Hãng,63521925,Shopee Mall(Non-CB),42417406449,[MUA 2 TẶNG 1] Combo 2 gói miếng lót sơ sinh Bobby Newborn 1-108 miếng  - Tặng miếng ngẫu nhiên,49935760044,Normal Product,,Mẹ & Bé,Tã & bô em bé,Tã vải & Phụ kiện,298000,2,XTRA Comm,,488720,,3.50%,17105.2,3.00%,14661.6,31766.8,17105.2,14661.6,31766.8,,0,0.00%,0,100.00%,31766.8,Đang chờ xử lý,"Trạng thái của sản phẩm đang chờ xử lý, hoa hồng sẽ chỉ được thanh toán khi nó được hoàn thành",Đơn hàng từ cùng một Shop,Đã tồn tại,,,,,,Websites
